,id,side,result,goals_for,goals_against,xG_for,xG_against
0,28055,h,0,0,1,0.297792,1.04077
1,28059,a,0,0,2,0.737042,1.25796
2,28073,h,0,1,4,1.33204,2.53408
3,28083,a,1,1,1,0.855084,2.47918
4,28088,h,1,1,1,0.82486,1.28588
5,28101,h,0,1,3,1.08284,4.18122
6,28109,a,1,1,1,1.19435,0.896807
7,28114,a,1,1,1,1.47299,2.43778
8,28121,h,3,4,2,3.26778,1.33
9,28129,a,3,1,0,0.50003,1.47525
10,28142,h,0,2,4,1.21483,4.38095
11,28154,a,0,0,1,1.14148,0.683126
12,28158,a,3,1,0,2.10367,0.322626
13,28168,h,0,0,3,0.505438,2.02701
14,28174,a,0,0,2,0.391796,0.62717
15,28187,h,3,2,0,1.90119,0.608874
16,28197,a,3,3,1,3.46863,1.44663
17,28208,h,3,2,0,1.21759,0.462137
18,28215,a,0,0,1,0.0813578,2.01118
19,28224,h,1,1,1,1.77333,2.19254
20,28235,h,0,0,2,0.367397,2.87581
21,28243,a,3,1,0,2.43148,2.06733
22,28251,a,1,3,3,3.1805,1.70031
23,28263,h,0,0,4,0.363765,4.43647
24,28269,a,0,0,2,0.48923,4.53611
25,28281,h,0,0,2,0.497795,2.03553
26,28282,h,0,0,3,1.04854,1.63382
27,28297,a,0,0,1,0.280438,1.64379
28,28306,h,3,2,0,1.771,0.452518
29,28310,a,0,1,2,0.278639,2.72567
30,28323,h,0,0,2,0.916985,2.22596
31,28335,a,3,1,0,0.727966,0.14126
32,28338,h,3,2,1,1.33058,0.710143
33,28348,a,0,0,2,0.556633,3.75818
