,id,side,result,goals_for,goals_against,xG_for,xG_against
0,28052,h,3,2,1,3.03248,0.58056
1,28064,a,0,0,2,0.876338,1.52541
2,28071,a,0,1,3,0.743523,2.83661
3,28077,h,0,0,3,0.419427,3.37672
4,28089,a,0,2,3,1.42586,1.78396
5,28095,h,3,3,0,2.9504,0.726126
6,28107,a,0,1,3,0.71964,2.45106
7,28113,h,3,2,1,2.86385,1.22872
8,28126,a,1,2,2,1.0609,2.21183
9,28131,h,3,4,0,2.39897,0.701873
10,28146,a,3,3,1,2.09466,2.02831
11,28154,h,3,1,0,0.683126,1.14148
12,28164,a,0,0,2,0.129647,2.78623
13,28166,h,1,0,0,0.34154,3.04535
14,28177,h,1,2,2,0.51026,1.73768
15,28190,a,0,1,3,1.7605,2.89722
16,28194,h,1,0,0,0.601359,1.51829
17,28208,a,0,0,2,0.462137,1.21759
18,28214,h,1,1,1,0.582829,1.1913
19,28227,a,0,2,4,1.6376,2.07751
20,28228,h,1,2,2,0.716768,1.16269
21,28241,a,1,2,2,1.48646,1.97492
22,28252,h,3,3,0,1.96607,1.22185
23,28261,h,0,0,1,2.09273,1.52559
24,28265,a,3,2,0,1.87605,1.83707
25,28274,a,1,1,1,0.606081,2.29143
26,28283,h,3,1,0,2.11681,0.457017
27,28299,a,3,1,0,1.10602,1.06426
28,28302,h,0,1,3,1.00397,3.11801
29,28312,a,0,1,3,0.280948,2.97047
30,28322,a,3,4,0,2.38411,2.31455
31,28329,h,0,1,2,0.32277,1.30285
32,28337,h,1,1,1,0.624481,0.823377
33,28351,a,0,1,3,0.9013,3.71972
