,id,side,result,goals_for,goals_against,xG_for,xG_against
0,28049,h,0,1,5,1.51475,2.96496
1,28061,a,0,0,2,0.695576,4.01926
2,28067,h,3,4,0,3.60698,0.256612
3,28079,a,0,1,3,1.00928,2.91245
4,28087,h,3,2,0,0.709045,2.3505
5,28095,a,0,0,3,0.726126,2.9504
6,28108,h,3,2,0,0.890433,2.11913
7,28118,h,1,1,1,1.42573,1.14445
8,28122,a,3,2,1,1.64092,1.44911
9,28134,h,0,0,1,1.02021,1.92085
10,28144,a,0,1,3,1.88669,3.03758
11,28153,a,0,2,3,1.38684,2.55781
12,28159,h,3,3,1,2.90417,0.930345
13,28169,a,0,1,3,0.740372,3.01042
14,28180,h,3,4,1,2.20104,1.39913
15,28187,a,0,0,2,0.608874,1.90119
16,28198,h,3,2,1,1.28964,1.40093
17,28209,a,3,2,1,1.87321,1.92675
18,28213,a,3,1,0,2.38282,0.696232
19,28220,h,0,2,5,0.63646,3.94899
20,28229,a,3,2,0,2.49765,1.45114
21,28241,h,1,2,2,1.97492,1.48646
22,28249,a,1,0,0,0.498988,0.785346
23,28257,a,0,1,2,1.89282,1.54474
24,28269,h,3,2,0,4.53611,0.48923
25,28276,h,1,0,0,0.33799,0.985266
26,28286,a,3,4,2,1.99117,2.44172
27,28293,h,3,2,1,0.90697,1.75483
28,28305,a,1,3,3,2.01379,1.02329
29,28311,h,0,1,3,1.05399,2.98551
30,28325,a,0,1,4,2.00913,1.12568
31,28333,h,3,1,0,1.34191,0.413817
32,28343,h,3,2,0,1.88589,1.84479
33,28350,a,0,0,6,0.68904,5.0223
