,id,side,result,goals_for,goals_against,xG_for,xG_against
0,28048,h,0,1,4,0.197023,2.9098
1,28060,a,3,2,0,2.23362,1.48827
2,28071,h,3,3,1,2.83661,0.743523
3,28082,a,0,0,2,0.15045,1.8674
4,28092,a,0,1,3,0.580512,1.84023
5,28098,h,0,0,3,0.488988,3.5706
6,28108,a,0,0,2,2.11913,0.890433
7,28115,h,0,0,4,0.360268,2.76676
8,28123,a,0,0,1,0.272294,1.84154
9,28133,h,3,1,0,1.7998,0.722691
10,28143,h,0,0,3,1.51035,2.69952
11,28152,a,3,2,0,0.977121,0.846924
12,28158,h,0,0,1,0.322626,2.10367
13,28165,a,0,1,2,1.42884,2.27599
14,28175,h,0,0,3,1.58328,1.39172
15,28189,a,0,1,5,0.885341,3.17491
16,28196,h,0,1,2,1.84216,3.10793
17,28207,a,1,1,1,1.29453,1.49091
18,28213,h,0,0,1,0.696232,2.38282
19,28224,a,1,1,1,2.19254,1.77333
20,28231,a,3,2,1,1.65349,1.76979
21,28244,h,0,1,3,0.555829,1.22276
22,28247,h,0,1,4,1.04249,2.60783
23,28260,a,3,4,3,1.73131,2.02687
24,28264,h,1,1,1,2.15479,1.3916
25,28277,a,0,2,4,1.56105,3.58655
26,28284,h,3,3,2,4.01379,1.06585
27,28294,a,3,2,0,1.72977,0.956146
28,28301,h,0,1,5,0.718016,3.72188
29,28313,a,0,1,2,0.709291,3.19233
30,28318,h,1,1,1,0.807798,3.28954
31,28329,a,3,2,1,1.30285,0.32277
32,28339,h,0,1,3,1.10297,2.16132
33,28345,a,3,3,2,2.49529,1.74414
