,id,side,result,goals_for,goals_against,xG_for,xG_against
0,28055,a,3,1,0,1.04077,0.297792
1,28061,h,3,2,0,4.01926,0.695576
2,28070,a,1,1,1,1.91297,0.905621
3,28078,h,1,0,0,0.623644,0.529029
4,28091,a,1,1,1,0.853348,1.34636
5,28096,h,1,0,0,2.06424,0.9614
6,28110,a,1,2,2,1.43012,1.31135
7,28117,a,3,2,0,1.35593,0.782727
8,28120,h,0,0,2,0.865293,1.47637
9,28130,a,0,0,1,0.803421,2.76932
10,28139,h,3,3,2,3.74705,1.49891
11,28148,h,0,1,3,2.1723,1.37895
12,28156,a,3,2,0,1.40788,0.589301
13,28170,h,3,2,0,1.10272,1.51819
14,28177,a,1,2,2,1.73768,0.51026
15,28185,h,0,0,1,1.32887,2.19226
16,28196,a,3,2,1,3.10793,1.84216
17,28202,h,0,1,2,1.34901,1.57299
18,28215,h,3,1,0,2.01118,0.0813578
19,28221,a,3,2,0,3.21001,1.11121
20,28236,a,0,0,2,1.02488,3.37347
21,28240,h,0,0,2,0.265561,1.97845
22,28250,a,0,1,3,2.06191,4.25273
23,28260,h,0,3,4,2.02687,1.73131
24,28272,a,3,1,0,1.23993,1.18945
25,28278,h,3,1,0,0.643819,0.653605
26,28289,a,0,0,1,0.596446,1.95492
27,28296,h,3,1,0,2.50421,1.69228
28,28307,h,0,0,2,2.71917,1.44859
29,28311,a,3,3,1,2.98551,1.05399
30,28322,h,0,0,4,2.31455,2.38411
31,28330,a,3,2,1,0.952824,1.1801
32,28342,a,1,1,1,0.766404,1.12406
33,28349,h,3,4,0,2.49045,0.481188
