,id,side,result,goals_for,goals_against,xG_for,xG_against
0,28050,a,3,2,0,2.31711,0.0758907
1,28059,h,3,2,0,1.25796,0.737042
2,28074,h,0,1,3,1.57562,3.24139
3,28075,a,0,0,1,2.73176,1.1774
4,28090,h,1,3,3,2.30213,3.02005
5,28098,a,3,3,0,3.5706,0.488988
6,28106,h,3,2,1,1.37754,1.43654
7,28111,a,1,0,0,0.163769,1.1914
8,28120,a,3,2,0,1.47637,0.865293
9,28136,h,1,1,1,1.67241,1.58011
10,28141,a,1,2,2,2.19562,1.92983
11,28151,h,3,1,0,0.641516,0.178059
12,28160,a,1,2,2,2.06485,1.28241
13,28169,h,3,3,1,3.01042,0.740372
14,28181,a,1,1,1,1.24013,1.21515
15,28188,h,1,1,1,1.13415,1.07277
16,28194,a,1,0,0,1.51829,0.601359
17,28203,h,3,2,1,1.29219,2.90437
18,28210,a,0,1,2,1.95469,1.19703
19,28222,h,3,4,1,2.74822,2.10343
20,28231,h,0,1,2,1.76979,1.65349
21,28242,a,3,2,0,3.01977,0.417057
22,28248,h,3,2,1,1.04956,2.78007
23,28255,a,0,1,4,0.872733,3.59846
24,28270,h,3,1,0,1.7771,0.305936
25,28280,a,0,0,1,2.45036,2.00991
26,28289,h,3,1,0,1.95492,0.596446
27,28295,a,0,1,2,0.656931,1.75398
28,28300,a,3,2,1,0.599675,0.982005
29,28312,h,3,3,1,2.97047,0.280948
30,28323,a,3,2,0,2.22596,0.916985
31,28331,h,1,1,1,0.682721,1.42571
32,28343,a,0,0,2,1.84479,1.88589
33,28353,h,3,2,1,2.31624,0.0983246
