,id,side,result,goals_for,goals_against,xG_for,xG_against
0,28056,a,0,0,3,2.20066,2.57411
1,28058,h,0,0,2,0.0144803,2.60916
2,28066,h,3,4,3,3.22754,2.44695
3,28078,a,1,0,0,0.529029,0.623644
4,28084,h,0,2,3,3.89273,0.675578
5,28099,a,3,2,1,0.730803,0.716626
6,28102,h,3,2,0,2.43324,0.765938
7,28115,a,3,4,0,2.76676,0.360268
8,28126,h,1,2,2,2.21183,1.0609
9,28136,a,1,1,1,1.58011,1.67241
10,28145,h,3,1,0,2.28647,0.703111
11,28155,a,1,1,1,1.92683,1.17295
12,28163,h,3,4,1,2.88467,2.03621
13,28168,a,3,3,0,2.02701,0.505438
14,28182,a,0,1,3,1.23945,2.59615
15,28184,h,3,1,0,1.07725,1.55585
16,28198,a,0,1,2,1.40093,1.28964
17,28204,h,1,0,0,0.619056,1.36611
18,28218,a,1,1,1,1.61762,1.62983
19,28219,a,0,2,3,1.83806,3.61972
20,28234,h,3,4,0,3.24979,0.307882
21,28239,a,3,4,1,1.59077,1.33893
22,28254,h,0,2,3,1.76184,2.74583
23,28257,h,3,2,1,1.54474,1.89282
24,28268,a,3,2,0,0.78019,1.50591
25,28277,h,3,4,2,3.58655,1.56105
26,28285,a,0,2,4,2.87161,1.77552
27,28295,h,3,2,1,1.75398,0.656931
28,28302,a,3,3,1,3.11801,1.00397
29,28309,a,0,1,2,0.632299,1.74645
30,28326,h,3,4,1,2.25879,0.781584
31,28330,h,0,1,2,1.1801,0.952824
32,28344,a,0,0,2,0.390411,1.48659
33,28348,h,3,2,0,3.75818,0.556633
