,id,side,result,goals_for,goals_against,xG_for,xG_against
0,28049,a,3,5,1,2.96496,1.51475
1,28065,h,1,2,2,2.94016,1.01201
2,28069,a,3,3,1,1.29819,0.485368
3,28076,h,3,2,0,1.02694,1.72041
4,28084,a,3,3,2,0.675578,3.89273
5,28093,a,0,0,1,0.782395,1.67455
6,28109,h,1,1,1,0.896807,1.19435
7,28112,a,3,5,0,3.88109,1.75684
8,28127,h,0,0,3,0.277951,4.04221
9,28135,a,3,2,1,0.876221,1.25901
10,28146,h,0,1,3,2.02831,2.09466
11,28148,a,3,3,1,1.37895,2.1723
12,28162,h,3,2,1,1.65632,0.958578
13,28167,a,3,2,0,2.9851,0.166752
14,28181,h,1,1,1,1.21515,1.24013
15,28189,h,3,5,1,3.17491,0.885341
16,28200,a,3,2,1,2.49254,1.76569
17,28201,h,1,1,1,3.29082,0.854933
18,28217,a,0,0,2,1.11157,2.10992
19,28219,h,3,3,2,3.61972,1.83806
20,28235,a,3,2,0,2.87581,0.367397
21,28238,h,3,5,1,5.94236,1.0312
22,28252,a,0,0,3,1.22185,1.96607
23,28256,h,3,2,0,2.61727,0.838148
24,28272,h,0,0,1,1.18945,1.23993
25,28273,a,0,1,3,0.734284,2.60859
26,28288,a,0,1,3,1.07885,1.05547
27,28291,h,3,3,2,1.13222,1.30619
28,28308,a,0,0,3,0.877673,2.91516
29,28314,h,3,5,1,3.82233,0.304052
30,28325,h,3,4,1,1.12568,2.00913
31,28331,a,1,1,1,1.42571,0.682721
32,28339,a,3,3,1,2.16132,1.10297
33,28346,h,3,4,2,4.06558,1.40321
