,id,side,result,goals_for,goals_against,xG_for,xG_against
0,28051,h,3,1,0,2.78444,0.484117
1,28058,a,3,2,0,2.60916,0.0144803
2,28070,h,1,1,1,0.905621,1.91297
3,28077,a,3,3,0,3.37672,0.419427
4,28092,h,3,3,1,1.84023,0.580512
5,28100,h,3,2,1,3.45707,0.768868
6,28103,a,3,2,1,0.498715,0.640297
7,28111,h,1,0,0,1.1914,0.163769
8,28128,a,0,1,2,0.796703,1.79435
9,28129,h,0,0,1,1.47525,0.50003
10,28140,a,3,3,1,3.42574,0.771173
11,28153,h,3,3,2,2.55781,1.38684
12,28162,a,0,1,2,0.958578,1.65632
13,28173,h,3,2,0,2.8043,0.232536
14,28176,a,1,0,0,1.3291,1.52074
15,28183,h,0,2,4,3.10193,2.40654
16,28193,a,1,2,2,3.48791,1.41184
17,28206,a,0,1,2,1.74957,2.60645
18,28211,h,3,3,2,3.47384,1.85205
19,28227,h,3,4,2,2.07751,1.6376
20,28233,a,0,1,4,0.924683,3.13964
21,28245,h,3,7,1,5.14782,1.36606
22,28248,a,0,1,2,2.78007,1.04956
23,28262,h,3,3,0,4.01066,0.722972
24,28267,a,1,1,1,2.8576,1.25392
25,28281,a,3,2,0,2.03553,0.497795
26,28290,h,3,2,1,2.52612,0.60151
27,28293,a,0,1,2,1.75483,0.90697
28,28308,h,3,3,0,2.91516,0.877673
29,28316,h,1,0,0,0.969947,0.340219
30,28318,a,1,1,1,3.28954,0.807798
31,28334,a,3,3,1,1.84407,1.16957
32,28344,h,3,2,0,1.48659,0.390411
33,28349,a,0,0,4,0.481188,2.49045
