,id,side,result,goals_for,goals_against,xG_for,xG_against
0,28053,h,1,1,1,1.44704,1.10476
1,28057,a,0,0,6,0.772997,4.93703
2,28068,h,0,1,3,0.745975,1.69437
3,28080,a,0,0,3,0.310262,1.26867
4,28089,h,3,3,2,1.78396,1.42586
5,28100,a,0,1,2,0.768868,3.45707
6,28105,a,0,2,4,0.874094,3.71514
7,28112,h,0,0,5,1.75684,3.88109
8,28124,h,0,0,3,0.241419,2.88708
9,28133,a,0,0,1,0.722691,1.7998
10,28144,h,3,3,1,3.03758,1.88669
11,28150,a,0,0,1,0.862794,1.27297
12,28160,h,1,2,2,1.28241,2.06485
13,28170,a,0,0,2,1.51819,1.10272
14,28179,h,1,2,2,2.45121,1.55192
15,28184,a,0,0,1,1.55585,1.07725
16,28197,h,0,1,3,1.44663,3.46863
17,28206,h,3,2,1,2.60645,1.74957
18,28212,a,3,2,1,0.939857,1.34257
19,28221,h,0,0,2,1.11121,3.21001
20,28230,a,0,0,2,1.9822,3.17215
21,28239,h,0,1,4,1.33893,1.59077
22,28253,a,0,0,2,0.916772,2.14122
23,28258,h,0,0,4,1.60296,2.49604
24,28270,a,0,0,1,0.305936,1.7771
25,28275,h,0,0,2,1.33869,1.13788
26,28283,a,0,0,1,0.457017,2.11681
27,28294,h,0,0,2,0.956146,1.72977
28,28306,a,0,0,2,0.452518,1.771
29,28314,a,0,1,5,0.304052,3.82233
30,28321,h,1,0,0,0.949696,1.03714
31,28333,a,0,0,1,0.413817,1.34191
32,28341,h,0,1,4,0.594471,1.78222
33,28347,a,0,0,3,0.602786,3.00657
