,id,side,result,goals_for,goals_against,xG_for,xG_against
0,28054,a,1,0,0,0.513845,1.50937
1,28064,h,3,2,0,1.52541,0.876338
2,28068,a,3,3,1,1.69437,0.745975
3,28081,h,0,1,2,1.43325,0.549218
4,28088,a,1,1,1,1.28588,0.82486
5,28097,h,1,2,2,2.61562,1.0242
6,28102,a,0,0,2,0.765938,2.43324
7,28116,h,1,1,1,0.832336,0.776883
8,28125,a,0,1,3,0.761926,1.99679
9,28135,h,0,1,2,1.25901,0.876221
10,28139,a,0,2,3,1.49891,3.74705
11,28152,h,0,0,2,0.846924,0.977121
12,28161,a,1,1,1,0.742742,3.85838
13,28172,h,3,1,0,1.70972,0.285927
14,28180,a,0,1,4,1.39913,2.20104
15,28188,a,1,1,1,1.07277,1.13415
16,28193,h,1,2,2,1.41184,3.48791
17,28205,a,1,1,1,1.36031,0.836137
18,28218,h,1,1,1,1.62983,1.61762
19,28223,a,3,2,1,1.41652,0.960868
20,28229,h,0,0,2,1.45114,2.49765
21,28245,a,0,1,7,1.36606,5.14782
22,28250,h,3,3,1,4.25273,2.06191
23,28256,a,0,0,2,0.838148,2.61727
24,28266,h,0,0,1,0.66134,1.17018
25,28280,h,3,1,0,2.00991,2.45036
26,28284,a,0,2,3,1.06585,4.01379
27,28292,a,3,2,1,0.945149,2.17922
28,28317,a,0,1,2,0.702331,2.52992
29,28303,h,1,1,1,0.520926,2.30552
30,28320,h,1,0,0,1.33764,0.410988
31,28335,h,0,0,1,0.14126,0.727966
32,28337,a,1,1,1,0.823377,0.624481
33,28347,h,3,3,0,3.00657,0.602786
