,id,side,result,goals_for,goals_against,xG_for,xG_against
0,28052,a,0,1,2,0.58056,3.03248
1,28062,h,1,1,1,1.23725,0.946618
2,28073,a,3,4,1,2.53408,1.33204
3,28076,a,0,0,2,1.72041,1.02694
4,28085,h,3,8,0,4.50007,0.335532
5,28096,a,1,0,0,0.9614,2.06424
6,28104,h,1,1,1,0.326466,0.822322
7,28116,a,1,1,1,0.776883,0.832336
8,28128,h,3,2,1,1.79435,0.796703
9,28134,a,3,1,0,1.92085,1.02021
10,28141,h,1,2,2,1.92983,2.19562
11,28149,h,3,2,1,2.03827,0.524154
12,28163,a,0,1,4,2.03621,2.88467
13,28165,h,3,2,1,2.27599,1.42884
14,28179,a,1,2,2,1.55192,2.45121
15,28191,h,3,3,2,1.51944,1.50451
16,28195,a,3,4,2,3.22004,0.950928
17,28203,a,0,1,2,2.90437,1.29219
18,28217,h,3,2,0,2.10992,1.11157
19,28225,a,1,1,1,1.51342,0.854551
20,28236,h,3,2,0,3.37347,1.02488
21,28244,a,3,3,1,1.22276,0.555829
22,28253,h,3,2,0,2.14122,0.916772
23,28259,a,3,3,1,2.41374,1.01895
24,28268,h,0,0,2,1.50591,0.78019
25,28274,h,1,1,1,2.29143,0.606081
26,28290,a,0,1,2,0.60151,2.52612
27,28292,h,0,1,2,2.17922,0.945149
28,28304,a,1,2,2,1.83829,0.789035
29,28310,h,3,2,1,2.72567,0.278639
30,28324,a,3,3,1,1.63001,4.50698
31,28332,h,3,1,0,1.2118,0.876237
32,28340,a,0,0,2,1.23457,2.06744
33,28350,h,3,6,0,5.0223,0.68904
