,id,side,result,goals_for,goals_against,xG_for,xG_against
0,28048,a,3,4,1,2.9098,0.197023
1,28057,h,3,6,0,4.93703,0.772997
2,28074,a,3,3,1,3.24139,1.57562
3,28079,h,3,3,1,2.91245,1.00928
4,28086,a,1,1,1,1.90277,0.760314
5,28094,h,3,3,1,3.22405,2.02646
6,28104,a,1,1,1,0.822322,0.326466
7,28119,h,3,4,2,4.66981,2.22038
8,28127,a,3,3,0,4.04221,0.277951
9,28130,h,3,1,0,2.76932,0.803421
10,28142,a,3,4,2,4.38095,1.21483
11,28147,h,3,3,0,1.63216,1.84157
12,28161,h,1,1,1,3.85838,0.742742
13,28166,a,1,0,0,3.04535,0.34154
14,28182,h,3,3,1,2.59615,1.23945
15,28183,a,3,4,2,2.40654,3.10193
16,28199,h,3,2,1,5.07062,0.410024
17,28202,a,3,2,1,1.57299,1.34901
18,28216,h,1,1,1,1.79628,0.613384
19,28220,a,3,5,2,3.94899,0.63646
20,28233,h,3,4,1,3.13964,0.924683
21,28237,a,3,1,0,2.93281,1.19618
22,28254,a,3,3,2,2.74583,1.76184
23,28255,h,3,4,1,3.59846,0.872733
24,28271,a,3,4,1,3.39834,2.10922
25,28273,h,3,3,1,2.60859,0.734284
26,28287,a,3,6,1,3.96021,1.27635
27,28297,h,3,1,0,1.64379,0.280438
28,28313,h,3,2,1,3.19233,0.709291
29,28303,a,1,1,1,2.30552,0.520926
30,28324,h,0,1,3,4.50698,1.63001
31,28328,a,0,1,2,2.35931,1.42064
32,28341,a,3,4,1,1.78222,0.594471
33,28351,h,3,3,1,3.71972,0.9013
