,id,side,result,goals_for,goals_against,xG_for,xG_against
0,28050,h,0,0,2,0.0758907,2.31711
1,28065,a,1,2,2,1.01201,2.94016
2,28072,h,3,2,1,2.00948,1.02619
3,28081,a,3,2,1,0.549218,1.43325
4,28086,h,1,1,1,0.760314,1.90277
5,28101,a,3,3,1,4.18122,1.08284
6,28105,h,3,4,2,3.71514,0.874094
7,28113,a,0,1,2,1.22872,2.86385
8,28122,h,0,1,2,1.44911,1.64092
9,28132,a,0,0,1,0.818661,0.910081
10,28143,a,3,3,0,2.69952,1.51035
11,28155,h,1,1,1,1.17295,1.92683
12,28156,h,0,0,2,0.589301,1.40788
13,28171,a,1,0,0,1.28455,1.0949
14,28176,h,1,0,0,1.52074,1.3291
15,28186,a,0,1,3,1.27612,3.18639
16,28195,h,0,2,4,0.950928,3.22004
17,28207,h,1,1,1,1.49091,1.29453
18,28216,a,1,1,1,0.613384,1.79628
19,28223,h,0,1,2,0.960868,1.41652
20,28234,a,0,0,4,0.307882,3.24979
21,28243,h,0,0,1,2.06733,2.43148
22,28246,a,0,0,1,0.160269,3.0636
23,28262,a,0,0,3,0.722972,4.01066
24,28265,h,0,0,2,1.83707,1.87605
25,28276,a,1,0,0,0.985266,0.33799
26,28288,h,3,3,1,1.05547,1.07885
27,28298,h,0,0,1,0.891063,2.80314
28,28307,a,3,2,0,1.44859,2.71917
29,28315,h,3,1,0,0.659517,1.32734
30,28321,a,1,0,0,1.03714,0.949696
31,28332,a,0,0,1,0.876237,1.2118
32,28336,h,0,0,2,1.12267,0.71062
33,28353,a,0,1,2,0.0983246,2.31624
