,id,side,result,goals_for,goals_against,xG_for,xG_against
0,28056,h,3,3,0,2.57411,2.20066
1,28063,a,0,1,3,1.40309,1.58875
2,28072,a,0,1,2,1.02619,2.00948
3,28080,h,3,3,0,1.26867,0.310262
4,28091,h,1,1,1,1.34636,0.853348
5,28094,a,0,1,3,2.02646,3.22405
6,28103,h,0,1,2,0.640297,0.498715
7,28118,a,1,1,1,1.14445,1.42573
8,28123,h,3,1,0,1.84154,0.272294
9,28131,a,0,0,4,0.701873,2.39897
10,28138,h,0,0,2,0.31279,1.31564
11,28151,a,0,0,1,0.178059,0.641516
12,28157,h,3,5,0,3.01812,0.168428
13,28172,a,0,0,1,0.285927,1.70972
14,28174,h,3,2,0,0.62717,0.391796
15,28191,a,0,2,3,1.50451,1.51944
16,28200,h,0,1,2,1.76569,2.49254
17,28209,h,0,1,2,1.92675,1.87321
18,28211,a,0,2,3,1.85205,3.47384
19,28226,h,3,1,0,0.763344,0.994427
20,28232,a,3,2,0,4.06991,0.462142
21,28242,h,0,0,2,0.417057,3.01977
22,28246,h,3,1,0,3.0636,0.160269
23,28258,a,3,4,0,2.49604,1.60296
24,28271,h,0,1,4,2.10922,3.39834
25,28278,a,0,0,1,0.653605,0.643819
26,28282,a,3,3,0,1.63382,1.04854
27,28299,h,0,0,1,1.06426,1.10602
28,28301,a,3,5,1,3.72188,0.718016
29,28317,h,3,2,1,2.52992,0.702331
30,28326,a,0,1,4,0.781584,2.25879
31,28327,a,0,1,2,1.57739,1.01393
32,28340,h,3,2,0,2.06744,1.23457
33,28346,a,0,2,4,1.40321,4.06558
