,id,side,result,goals_for,goals_against,xG_for,xG_against
0,28051,a,0,0,1,0.484117,2.78444
1,28060,h,0,0,2,1.48827,2.23362
2,28067,a,0,0,4,0.256612,3.60698
3,28075,h,3,1,0,1.1774,2.73176
4,28085,a,0,0,8,0.335532,4.50007
5,28097,a,1,2,2,1.0242,2.61562
6,28107,h,3,3,1,2.45106,0.71964
7,28117,h,0,0,2,0.782727,1.35593
8,28121,a,0,2,4,1.33,3.26778
9,28137,h,3,2,0,2.82745,0.451174
10,28145,a,0,0,1,0.703111,2.28647
11,28150,h,3,1,0,1.27297,0.862794
12,28157,a,0,0,5,0.168428,3.01812
13,28167,h,0,0,2,0.166752,2.9851
14,28178,a,0,1,2,0.388289,1.73249
15,28186,h,3,3,1,3.18639,1.27612
16,28199,a,0,1,2,0.410024,5.07062
17,28205,h,1,1,1,0.836137,1.36031
18,28214,a,1,1,1,1.1913,0.582829
19,28222,a,0,1,4,2.10343,2.74822
20,28232,h,0,0,2,0.462142,4.06991
21,28238,a,0,1,5,1.0312,5.94236
22,28251,h,1,3,3,1.70031,3.1805
23,28259,h,0,1,3,1.01895,2.41374
24,28264,a,1,1,1,1.3916,2.15479
25,28275,a,3,2,0,1.13788,1.33869
26,28287,h,0,1,6,1.27635,3.96021
27,28296,a,0,0,1,1.69228,2.50421
28,28305,h,1,3,3,1.02329,2.01379
29,28309,h,3,2,1,1.74645,0.632299
30,28319,a,0,1,3,2.2201,2.8346
31,28334,h,0,1,3,1.16957,1.84407
32,28336,a,3,2,0,0.71062,1.12267
33,28352,h,0,2,3,1.32698,3.82215
