,id,side,result,goals_for,goals_against,xG_for,xG_against
0,28053,a,1,1,1,1.10476,1.44704
1,28063,h,3,3,1,1.58875,1.40309
2,28066,a,0,3,4,2.44695,3.22754
3,28083,h,1,1,1,2.47918,0.855084
4,28090,a,1,3,3,3.02005,2.30213
5,28093,h,3,1,0,1.67455,0.782395
6,28110,h,1,2,2,1.31135,1.43012
7,28119,a,0,2,4,2.22038,4.66981
8,28125,h,3,3,1,1.99679,0.761926
9,28137,a,0,0,2,0.451174,2.82745
10,28140,h,0,1,3,0.771173,3.42574
11,28149,a,0,1,2,0.524154,2.03827
12,28159,a,0,1,3,0.930345,2.90417
13,28171,h,1,0,0,1.0949,1.28455
14,28175,a,3,3,0,1.39172,1.58328
15,28190,h,3,3,1,2.89722,1.7605
16,28192,a,3,2,1,1.82783,1.19281
17,28201,a,1,1,1,0.854933,3.29082
18,28210,h,3,2,1,1.19703,1.95469
19,28226,a,0,0,1,0.994427,0.763344
20,28230,h,3,2,0,3.17215,1.9822
21,28240,a,3,2,0,1.97845,0.265561
22,28249,h,1,0,0,0.785346,0.498988
23,28261,a,3,1,0,1.52559,2.09273
24,28266,a,3,1,0,1.17018,0.66134
25,28279,h,3,2,1,1.98742,1.39687
26,28285,h,3,4,2,1.77552,2.87161
27,28298,a,3,1,0,2.80314,0.891063
28,28304,h,1,2,2,0.789035,1.83829
29,28316,a,1,0,0,0.340219,0.969947
30,28319,h,3,3,1,2.8346,2.2201
31,28328,h,3,2,1,1.42064,2.35931
32,28338,a,0,1,2,0.710143,1.33058
33,28345,h,0,2,3,1.74414,2.49529
