,id,side,result,goals_for,goals_against,xG_for,xG_against
0,28054,h,1,0,0,1.50937,0.513845
1,28062,a,1,1,1,0.946618,1.23725
2,28069,h,0,1,3,0.485368,1.29819
3,28082,h,3,2,0,1.8674,0.15045
4,28087,a,0,0,2,2.3505,0.709045
5,28099,h,0,1,2,0.716626,0.730803
6,28106,a,0,1,2,1.43654,1.37754
7,28114,h,1,1,1,2.43778,1.47299
8,28124,a,3,3,0,2.88708,0.241419
9,28132,h,3,1,0,0.910081,0.818661
10,28138,a,3,2,0,1.31564,0.31279
11,28147,a,0,0,3,1.84157,1.63216
12,28164,h,3,2,0,2.78623,0.129647
13,28173,a,0,0,2,0.232536,2.8043
14,28178,h,3,2,1,1.73249,0.388289
15,28185,a,3,1,0,2.19226,1.32887
16,28192,h,0,1,2,1.19281,1.82783
17,28204,a,1,0,0,1.36611,0.619056
18,28212,h,0,1,2,1.34257,0.939857
19,28225,h,1,1,1,0.854551,1.51342
20,28228,a,1,2,2,1.16269,0.716768
21,28237,h,0,0,1,1.19618,2.93281
22,28247,a,3,4,1,2.60783,1.04249
23,28263,a,3,4,0,4.43647,0.363765
24,28267,h,1,1,1,1.25392,2.8576
25,28279,a,0,1,2,1.39687,1.98742
26,28286,h,0,2,4,2.44172,1.99117
27,28291,a,0,2,3,1.30619,1.13222
28,28300,h,0,1,2,0.982005,0.599675
29,28315,a,0,0,1,1.32734,0.659517
30,28320,a,1,0,0,0.410988,1.33764
31,28327,h,3,2,1,1.01393,1.57739
32,28342,h,1,1,1,1.12406,0.766404
33,28352,a,3,3,2,3.82215,1.32698
