position,team_title,points,points_h,points_a,goals_per90_h,goals_per90_a,against_per90_h,against_per90_a,xG_per90_h,xG_per90_a,xGa_per90_h,xGa_per90_a,points_pvalue,goals_for_pvalue,goals_against_pvalue,xG_for_pvalue,xG_against_pvalue
1,Paris_Saint_Germain,84.0,44.0,40.0,2.6470588235294117,2.764705882352941,0.9411764705882353,1.1176470588235294,3.286809411764706,2.809267764705883,1.0430851176470588,1.0976924117647058,0.49765717718404534,0.8285194552665557,0.48158171257798765,0.18727912649266823,0.8147129035240247
2,Marseille,65.0,34.0,31.0,2.411764705882353,1.9411764705882353,1.3529411764705883,1.411764705882353,2.354234,1.6954171176470587,1.410149529411765,1.6174287058823529,0.7106723656588041,0.41168603281119664,0.8605281579982489,0.14049795736780268,0.5065159392207342
3,Monaco,61.0,39.0,22.0,2.235294117647059,1.4705882352941178,0.9411764705882353,1.4705882352941178,2.513276352941176,2.0117474705882357,0.9543927647058823,1.302987076470588,0.027611543545905042,0.11702226094303403,0.1933171338642201,0.19760058627984975,0.19063972362376114
4,Lille,60.0,37.0,23.0,1.8235294117647058,1.2352941176470589,1.0588235294117647,1.0588235294117647,1.7372327647058825,1.8178475294117646,1.4208857411764708,1.2699433941176472,0.06459436352836335,0.08369683225071656,1.0,0.7786378216691223,0.6450563408100773
5,Nice,60.0,37.0,23.0,2.235294117647059,1.6470588235294117,0.8823529411764706,1.5294117647058822,2.2460356470588234,1.6859425294117647,0.9284033529411765,1.7180087647058824,0.06459436352836335,0.31133899735273707,0.036861150079047604,0.10703098670136367,0.008825480708172084
6,Strasbourg,57.0,35.0,22.0,1.9411764705882353,1.3529411764705883,1.1764705882352942,1.411764705882353,1.7364584705882355,1.429085,1.7247501764705881,1.9092873529411767,0.09127615099636084,0.10996892105762163,0.573640179223115,0.26554246906556367,0.5949382020433693
7,Lyon,57.0,35.0,22.0,2.176470588235294,1.6470588235294117,1.2352941176470589,1.4705882352941178,2.220072723529412,1.6023854117647058,1.3338447647058824,1.5069503529411765,0.1088621367090852,0.2533862528872074,0.5682438607319186,0.07858422654280063,0.534631683368985
8,Lens,52.0,23.0,29.0,1.1176470588235294,1.3529411764705883,1.2941176470588236,1.0,1.8969527647058826,1.5581154705882354,1.3102685764705884,1.505577705882353,0.46303235780340446,0.5315827319761368,0.47742871875680415,0.30800817441332373,0.520116393739946
9,Brest,50.0,33.0,17.0,1.8235294117647058,1.2352941176470589,1.2352941176470589,2.235294117647059,1.660955176470588,1.443723294117647,1.670341176470588,2.2267892941176473,0.05162139139489203,0.1420241537074857,0.07812802102307766,0.49926518299042455,0.14740362909445787
10,Auxerre,42.0,27.0,15.0,1.411764705882353,1.411764705882353,1.0,2.0,1.3663435294117645,1.1501043529411763,1.4623225294117648,2.2345970588235295,0.11585915877784507,1.0,0.015956041657460583,0.4662293076783125,0.007663766338671131
11,Toulouse,42.0,20.0,22.0,1.1764705882352942,1.411764705882353,1.2941176470588236,1.2352941176470589,1.4027700588235295,1.825846,1.2064135882352944,1.1076017647058822,0.7970788329192748,0.5366003794080759,0.8768771586335709,0.18719312198409505,0.7058491781159746
12,Rennes,41.0,28.0,13.0,1.4705882352941178,1.5294117647058822,1.0,1.9411764705882353,1.6080198823529412,1.5564734117647059,1.23486,1.7532513529411764,0.0759299080904628,0.8998353501292187,0.04425442146363064,0.8797684150193725,0.1540663775803944
13,Angers,36.0,17.0,19.0,1.0588235294117647,0.8235294117647058,1.9411764705882353,1.1764705882352942,1.1596324705882353,1.1700774,2.0243360000000004,1.7770799411764706,0.8001326716449615,0.518986349521932,0.06458035177125307,0.9732072293096247,0.5679921567533777
14,Nantes,36.0,21.0,15.0,1.1176470588235294,1.1764705882352942,1.0588235294117647,2.0,1.5673797647058823,1.0737209411764705,1.3352234117647062,2.197668294117647,0.3910877725590425,0.8509712992551584,0.04425442146363067,0.06188279540002505,0.036042981604352695
15,Le_Havre,34.0,11.0,23.0,0.8823529411764706,1.4705882352941178,2.411764705882353,1.7647058823529411,1.29606,1.3716134705882352,2.227047882352941,1.8287372352941178,0.12884043061569952,0.09601808710650643,0.18884488161342397,0.8017515419934745,0.21899558916163883
16,Reims,33.0,16.0,17.0,1.0,0.9411764705882353,1.4705882352941178,1.2941176470588236,1.3134559823529413,1.1352990352941177,1.6813802352941176,2.0398262941176473,0.8905759710008703,0.8804388249741814,0.6389988435561786,0.5693642653308872,0.2546440807009724
17,Saint-Etienne,30.0,21.0,9.0,1.411764705882353,0.8823529411764706,1.9411764705882353,2.588235294117647,1.4066587058823528,0.9752189999999998,2.112536294117647,2.8300564117647062,0.10020351338986368,0.1200412280083345,0.3188318178615794,0.08863466452505911,0.11571860281616249
18,Montpellier,16.0,13.0,3.0,1.0,0.35294117647058826,2.411764705882353,2.235294117647059,1.4524480588235296,0.809453,2.0410970588235293,2.3013123529411765,0.08369683225071656,0.04392513066258238,0.7208383299790867,0.004630015739434684,0.46211077833045844
