,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27365,h,1,2,2,2.1004,0.876602
1,27372,a,0,1,2,2.09812,2.46266
2,27387,a,1,2,2,1.34242,2.32967
3,27398,h,3,4,0,2.18898,0.263269
4,27406,a,3,2,1,2.75751,0.941382
5,27417,h,3,3,0,2.43265,0.462274
6,27426,a,0,1,2,2.83446,1.94286
7,27440,h,3,1,0,1.20398,0.522785
8,27459,h,0,0,2,0.568256,0.956912
9,27465,a,3,1,0,2.91043,1.23293
10,27478,a,1,3,3,2.77604,1.90363
11,27490,h,1,0,0,0.306342,0.811307
12,27498,h,3,3,0,2.02293,0.400556
13,27502,a,0,1,2,0.899516,2.62823
14,27520,h,1,0,0,1.28243,0.204497
15,27522,a,3,1,0,1.37505,0.649472
16,27538,h,1,1,1,2.26348,1.61126
17,27560,h,1,1,1,2.43026,0.308787
18,27543,a,3,2,1,1.44061,1.63578
19,27568,a,0,0,2,1.17816,1.56881
20,27576,h,3,3,2,2.7112,1.85515
21,27588,h,1,1,1,1.04439,1.98309
22,27594,a,3,2,0,1.90573,0.668788
23,27608,h,3,1,0,1.8755,0.372202
24,27618,a,0,1,2,2.18445,0.556583
25,27442,a,0,1,2,1.55538,2.31992
26,27627,h,0,1,2,1.28991,2.53115
27,27639,a,3,3,2,3.27991,1.1897
28,27647,h,3,2,1,1.72803,1.35523
29,27654,a,0,1,2,2.25619,0.945094
30,27669,h,1,2,2,2.17819,3.04937
31,27681,a,3,4,0,2.49634,0.644579
32,27686,h,0,0,1,0.495327,2.07826
33,27701,a,3,2,0,1.466,1.00629
34,27705,a,3,2,1,1.29954,0.54789
35,27717,h,3,3,1,1.55343,0.361364
36,27730,a,0,1,3,1.78592,1.57656
37,27738,h,3,2,0,1.99268,0.516606
