,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27370,a,3,4,0,2.45909,1.88414
1,27377,a,0,1,2,3.08667,2.49919
2,27383,a,0,0,4,1.17772,2.28876
3,27393,h,3,3,2,2.4507,1.96392
4,27402,h,0,2,3,1.31694,0.579703
5,27412,a,1,1,1,2.47751,0.176428
6,27422,h,3,5,1,4.0137,0.543171
7,27433,a,3,2,0,1.83371,0.881872
8,27443,h,3,6,1,3.84122,0.22446
9,27452,h,3,2,0,1.65221,0.0805941
10,27464,a,3,3,0,1.50982,0.611112
11,27481,h,3,2,1,1.60488,0.90914
12,27491,a,3,3,1,3.54363,0.622186
13,27493,a,3,2,0,1.76696,0.667881
14,27502,h,3,2,1,2.62823,0.899516
15,27517,a,3,1,0,2.37449,1.90937
16,27525,h,3,3,2,2.08379,1.21827
17,27535,a,1,1,1,2.98315,0.564499
18,27561,a,1,0,0,0.233045,2.05217
19,27542,h,1,1,1,1.5823,2.27956
20,27562,h,0,2,3,0.709505,1.2536
21,27581,a,3,2,1,1.04831,0.704371
22,27584,h,1,1,1,3.35128,0.629596
23,27595,a,3,5,0,2.14751,1.78844
24,27603,h,1,0,0,0.473748,0.123294
25,27612,a,3,5,0,2.50618,0.775943
26,27622,h,1,0,0,3.34552,0.359199
27,27637,a,3,4,0,3.93513,0.940693
28,27643,h,0,0,2,0.682065,2.28143
29,27661,a,0,0,1,0.918743,1.92673
30,27664,h,0,0,1,1.04022,0.523108
31,27674,h,3,2,0,1.15847,0.546815
32,27686,a,3,1,0,2.07826,0.495327
33,27693,h,1,1,1,2.45836,1.45404
34,27708,a,3,4,0,3.05078,0.827428
35,27712,h,3,2,1,2.87542,0.572288
36,27724,a,3,3,2,1.56926,1.44057
37,27733,h,0,2,3,1.90265,2.82535
