,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27367,h,1,1,1,3.3102,0.944621
1,27378,a,0,0,3,0.544518,2.07052
2,27385,h,1,1,1,1.35876,1.11428
3,27397,a,1,2,2,1.15087,1.45782
4,27409,a,3,2,1,1.45302,0.707402
5,27412,h,1,1,1,0.176428,2.47751
6,27424,h,1,0,0,0.835615,1.08533
7,27434,a,1,2,2,1.15682,0.450285
8,27453,a,3,2,0,0.872307,1.18569
9,27467,h,3,1,0,2.06051,0.771878
10,27476,a,3,3,2,2.16772,1.06974
11,27486,a,0,0,3,0.0932634,2.59912
12,27494,h,3,3,0,4.16965,0.357302
13,27503,a,1,2,2,0.784689,0.856802
14,27518,h,3,1,0,2.32266,1.14307
15,27527,a,3,2,0,1.79816,0.270606
16,27532,h,0,2,3,2.86482,0.798964
17,27554,h,1,2,2,2.28949,1.58872
18,27546,a,1,2,2,0.914393,1.79382
19,27571,h,3,3,1,2.33675,0.410907
20,27572,a,1,1,1,0.898773,0.83399
21,27585,h,3,2,0,1.681,0.640061
22,27597,a,1,0,0,0.8506,0.844895
23,27602,h,3,3,2,3.46262,1.64846
24,27616,a,0,0,2,0.698426,1.4111
25,27442,h,3,2,1,2.31992,1.55538
26,27623,h,3,2,1,2.25801,0.68032
27,27635,a,3,2,1,1.38177,1.28101
28,27645,h,3,5,0,2.85431,0.600718
29,27653,a,3,1,0,1.29589,0.683347
30,27665,h,1,1,1,1.11047,0.99857
31,27674,a,0,0,2,0.546815,1.15847
32,27682,h,3,1,0,1.0878,0.661137
33,27700,a,1,0,0,1.17741,0.387188
34,27702,h,1,1,1,0.390379,0.681163
35,27717,a,0,1,3,0.361364,1.55343
36,27723,a,0,2,3,1.51953,1.43018
37,27734,h,0,1,3,0.628377,1.17343
