,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27368,h,1,0,0,1.30634,1.29639
1,27380,h,1,1,1,1.03532,2.08973
2,27384,a,0,0,1,2.09263,2.34113
3,27395,h,0,0,4,0.881581,1.42805
4,27403,h,0,0,2,1.68655,1.02688
5,27419,a,3,3,2,3.057,2.98598
6,27429,a,1,1,1,1.045,3.21709
7,27432,h,3,3,2,1.51181,1.23394
8,27451,a,0,0,2,0.160634,1.12881
9,27453,h,0,0,2,1.18569,0.872307
10,27471,a,0,1,2,0.274214,3.39964
11,27478,h,1,3,3,1.90363,2.77604
12,27484,a,1,2,2,2.81223,2.1978
13,27495,h,3,1,0,2.64816,0.606166
14,27504,a,0,0,1,1.00073,0.412045
15,27517,h,0,0,1,1.90937,2.37449
16,27526,a,0,1,2,2.62545,1.55318
17,27534,h,0,0,3,0.302293,3.1724
18,27548,a,3,2,1,0.781523,1.55837
19,27560,a,1,1,1,0.308787,2.43026
20,27563,h,3,4,1,3.36227,0.388374
21,27578,a,0,0,2,0.270772,2.23206
22,27586,h,0,1,2,1.82889,1.9337
23,27593,h,3,2,1,1.49632,1.15072
24,27603,a,1,0,0,0.123294,0.473748
25,27621,h,0,0,1,0.225637,2.20526
26,27623,a,0,1,2,0.68032,2.25801
27,27632,h,1,1,1,0.809829,1.43054
28,27648,a,0,0,1,1.10046,1.61105
29,27658,h,3,3,0,1.95839,0.962993
30,27666,a,1,0,0,0.162801,0.386589
31,27678,a,0,1,3,0.914283,1.71603
32,27683,h,0,1,2,0.367407,0.701424
33,27696,a,3,2,0,1.87448,0.27029
34,27703,h,0,1,2,0.954534,1.92066
35,27713,a,0,1,3,1.22492,1.93276
36,27722,h,3,3,0,2.75115,0.773148
37,27739,a,0,0,2,0.0969696,2.16118
