,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27371,a,0,0,3,0.171238,1.30582
1,27380,a,1,1,1,2.08973,1.03532
2,27391,a,0,0,1,1.65728,1.18455
3,27397,h,1,2,2,1.45782,1.15087
4,27402,a,3,3,2,0.579703,1.31694
5,27414,h,3,3,2,2.47493,1.5544
6,27430,a,0,1,3,0.638474,1.91407
7,27436,h,1,1,1,1.28527,0.918205
8,27450,a,0,0,1,1.59554,1.56007
9,27454,h,0,1,5,1.16312,2.96686
10,27462,a,0,0,1,0.41675,0.723897
11,27472,a,1,1,1,1.37361,1.03893
12,27482,h,0,0,2,1.27005,0.947266
13,27496,h,1,1,1,1.38648,1.75565
14,27511,a,1,2,2,0.779392,0.303457
15,27512,h,3,2,0,1.1153,0.650738
16,27531,a,0,0,2,0.367536,1.89916
17,27533,h,3,2,0,2.25936,0.436266
18,27559,a,1,1,1,1.9019,1.03936
19,27543,h,0,1,2,1.63578,1.44061
20,27564,h,3,4,1,1.81904,0.847427
21,27581,h,0,1,2,0.704371,1.04831
22,27585,a,0,0,2,0.640061,1.681
23,27592,h,0,1,2,0.935692,1.32392
24,27611,a,3,2,0,0.875449,0.431215
25,27620,h,3,2,1,0.466603,1.10277
26,27630,a,0,1,2,1.29634,1.59518
27,27633,h,1,1,1,1.2727,1.80606
28,27647,a,0,1,2,1.35523,1.72803
29,27652,h,1,1,1,1.93663,1.78514
30,27663,a,3,3,1,2.27029,1.05971
31,27675,h,3,1,0,1.23079,1.04165
32,27688,a,3,3,0,1.65387,0.666737
33,27694,h,3,1,0,1.80373,1.04585
34,27709,a,3,1,0,1.32818,2.74525
35,27713,h,3,3,1,1.93276,1.22492
36,27725,a,1,1,1,1.12443,1.55405
37,27735,h,0,0,2,1.49032,2.27789
