,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27364,h,1,0,0,0.578573,0.327848
1,27379,a,3,2,1,3.0773,2.04246
2,27385,a,1,1,1,1.11428,1.35876
3,27392,h,1,0,0,0.601249,0.726024
4,27403,a,3,2,0,1.02688,1.68655
5,27415,h,1,0,0,0.44778,1.25438
6,27423,a,0,1,2,0.912844,2.0459
7,27435,h,0,0,1,1.00465,1.31758
8,27449,a,1,1,1,0.14913,1.43623
9,27455,h,0,0,3,0.319674,1.68832
10,27462,h,3,1,0,0.723897,0.41675
11,27474,a,1,1,1,0.610497,1.41905
12,27483,h,1,1,1,0.166889,1.09285
13,27498,a,0,0,3,0.400556,2.02293
14,27506,a,3,4,1,1.2903,0.895085
15,27513,h,0,0,1,0.953691,1.36089
16,27525,a,0,2,3,1.21827,2.08379
17,27536,h,0,1,2,1.42691,2.01725
18,27551,a,1,1,1,1.52251,0.455526
19,27556,h,0,1,3,2.31529,1.57649
20,27567,a,0,1,3,0.412045,1.6401
21,27572,h,1,1,1,0.83399,0.898773
22,27582,a,0,1,4,0.94947,2.00759
23,27594,h,0,0,2,0.668788,1.90573
24,27604,a,0,0,3,2.47474,2.90516
25,27612,h,0,0,5,0.775943,2.50618
26,27625,a,1,1,1,1.00977,0.229571
27,27634,h,0,0,1,0.0771894,2.99912
28,27649,a,0,0,1,1.73375,0.701071
29,27652,a,1,1,1,1.78514,1.93663
30,27666,h,1,0,0,0.386589,0.162801
31,27680,a,0,0,3,1.37277,2.13717
32,27684,h,1,2,2,1.14666,1.48453
33,27695,a,0,1,2,0.465943,0.655092
34,27704,h,0,0,1,0.18325,1.12653
35,27714,h,3,2,1,0.989813,0.404689
36,27728,a,3,3,1,1.95845,1.03178
37,27736,h,0,1,2,1.23351,0.833807
