,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27363,a,1,1,1,0.81313,1.83796
1,27376,h,1,0,0,0.660213,1.01295
2,27388,h,1,2,2,2.41541,0.489982
3,27393,a,0,2,3,1.96392,2.4507
4,27404,h,3,2,1,2.85634,1.14467
5,27415,a,1,0,0,1.25438,0.44778
6,27426,h,3,2,1,1.94286,2.83446
7,27439,a,3,6,0,2.21676,0.223823
8,27445,h,3,5,1,4.56893,0.657353
9,27456,a,3,1,0,0.909048,0.848655
10,27470,a,3,1,0,0.523302,0.590362
11,27479,h,3,3,1,2.77034,0.53544
12,27482,a,3,2,0,0.947266,1.27005
13,27504,h,3,1,0,0.412045,1.00073
14,27518,a,0,0,1,1.14307,2.32266
15,27523,h,0,1,2,1.55716,0.858846
16,27537,a,1,2,2,1.02946,1.74742
17,27544,h,0,0,3,0.877617,1.59728
18,27552,a,0,1,2,1.60714,0.988429
19,27565,h,1,1,1,1.81758,0.540016
20,27574,a,3,2,1,1.20023,2.01121
21,27587,h,3,2,1,0.695448,1.96523
22,27497,h,3,3,0,1.05274,0.589261
23,27596,a,0,1,2,1.03291,1.87526
24,27611,h,0,0,2,0.431215,0.875449
25,27613,a,0,0,1,1.15567,0.450798
26,27624,h,3,1,0,1.43821,1.11638
27,27640,a,0,1,2,1.05617,2.93764
28,27644,h,3,3,0,0.508254,0.597644
29,27661,h,3,1,0,1.92673,0.918743
30,27669,a,1,2,2,3.04937,2.17819
31,27676,h,1,0,0,0.670714,0.616318
32,27683,a,3,2,1,0.701424,0.367407
33,27695,h,3,2,1,0.655092,0.465943
34,27710,a,0,0,1,0.760529,1.00134
35,27721,a,0,1,2,0.994541,2.25991
36,27723,h,3,3,2,1.43018,1.51953
37,27741,a,3,3,2,3.06465,1.61711
