,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27362,h,1,2,2,2.31286,2.00656
1,27374,a,3,1,0,0.660299,0.401371
2,27389,h,0,0,2,1.34735,2.09653
3,27394,h,1,1,1,1.59603,2.65805
4,27411,a,0,0,2,0.388857,2.33503
5,27416,h,0,0,3,0.385259,2.91803
6,27422,a,0,1,5,0.543171,4.0137
7,27434,h,1,2,2,0.450285,1.15682
8,27447,a,0,0,3,0.261739,2.9799
9,27456,h,0,0,1,0.848655,0.909048
10,27469,a,3,1,0,1.15243,0.883705
11,27472,h,1,1,1,1.03893,1.37361
12,27484,h,1,2,2,2.1978,2.81223
13,27501,a,3,2,0,1.7171,0.156386
14,27505,h,1,0,0,0.327249,0.70601
15,27520,a,1,0,0,0.204497,1.28243
16,27524,h,0,1,2,0.707336,1.42377
17,27536,a,3,2,1,2.01725,1.42691
18,27547,a,1,0,0,1.06752,0.545634
19,27558,h,3,1,0,1.51628,0.513393
20,27570,a,0,1,3,0.494153,1.79725
21,27573,h,3,2,0,3.31745,0.311849
22,27587,a,0,1,2,1.96523,0.695448
23,27599,a,1,1,1,0.308682,0.647236
24,27605,h,3,2,0,1.60036,0.341183
25,27614,a,0,0,1,1.51356,1.3989
26,27625,h,1,1,1,0.229571,1.00977
27,27632,a,1,1,1,1.43054,0.809829
28,27646,h,3,2,1,1.06034,1.20452
29,27659,a,0,0,1,0.263169,1.50908
30,27667,h,3,1,0,1.65486,1.11114
31,27677,a,1,0,0,0.111761,1.00077
32,27685,h,0,0,2,0.470637,1.33679
33,27694,a,0,0,1,1.04585,1.80373
34,27705,h,0,1,2,0.54789,1.29954
35,27718,a,1,2,2,0.648382,2.35243
36,27724,h,0,2,3,1.44057,1.56926
37,27734,a,3,3,1,1.17343,0.628377
