,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27362,a,1,2,2,2.00656,2.31286
1,27375,h,3,2,0,2.48059,0.335346
2,27383,h,3,4,0,2.28876,1.17772
3,27399,a,1,1,1,1.8081,0.217777
4,27406,h,0,1,2,0.941382,2.75751
5,27413,a,3,3,2,2.30465,0.984798
6,27428,h,3,3,2,3.44641,1.29026
7,27441,a,3,1,0,0.796917,0.78742
8,27444,h,1,4,4,2.82542,2.36179
9,27455,a,3,3,0,1.68832,0.319674
10,27463,h,3,1,0,3.34539,1.14021
11,27473,h,1,1,1,1.47373,1.00611
12,27485,a,3,5,0,2.79774,0.554633
13,27507,h,3,3,1,3.0797,0.274097
14,27515,a,3,6,0,2.33306,0.634641
15,27531,h,3,2,0,1.89916,0.367536
16,27534,a,3,3,0,3.1724,0.302293
17,27557,a,3,1,0,2.35271,0.668042
18,27546,h,1,2,2,1.79382,0.914393
19,27567,h,3,3,1,1.6401,0.412045
20,27575,a,3,4,0,2.58246,0.719003
21,27588,a,1,1,1,1.98309,1.04439
22,27497,a,0,0,3,0.589261,1.05274
23,27596,h,3,2,1,1.87526,1.03291
24,27610,a,0,0,1,2.08504,1.3662
25,27614,h,3,1,0,1.3989,1.51356
26,27629,a,1,1,1,0.452597,1.72874
27,27636,h,3,3,2,3.0629,0.779109
28,27643,a,3,2,0,2.28143,0.682065
29,27655,h,3,2,1,2.33787,1.3398
30,27670,a,1,2,2,2.17944,1.66115
31,27678,h,3,3,1,1.71603,0.914283
32,27682,a,0,0,1,0.661137,1.0878
33,27697,h,0,0,1,1.10299,2.79826
34,27706,h,3,1,0,1.59903,0.303341
35,27719,a,3,2,0,2.48918,1.76692
36,27726,h,1,2,2,1.59363,2.33497
37,27735,a,3,2,0,2.27789,1.49032
