,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27371,h,3,3,0,1.30582,0.171238
1,27381,a,3,3,0,1.36151,0.878611
2,27390,h,1,0,0,0.415282,0.382591
3,27392,a,1,0,0,0.726024,0.601249
4,27407,h,1,0,0,0.419301,0.233773
5,27416,a,3,3,0,2.91803,0.385259
6,27429,h,1,1,1,3.21709,1.045
7,27438,h,3,1,0,1.49305,0.0648311
8,27444,a,1,4,4,2.36179,2.82542
9,27457,h,1,2,2,2.77649,1.45546
10,27466,a,3,2,0,1.55533,0.573076
11,27480,h,3,2,0,1.57325,0.273931
12,27490,a,1,0,0,0.811307,0.306342
13,27492,a,1,1,1,1.03998,1.10419
14,27503,h,1,2,2,0.856802,0.784689
15,27514,h,1,2,2,2.18951,0.586788
16,27528,a,3,2,1,2.58556,0.983171
17,27537,h,1,2,2,1.74742,1.02946
18,27555,a,1,1,1,0.94701,0.411274
19,27542,a,1,1,1,2.27956,1.5823
20,27568,h,3,2,0,1.56881,1.17816
21,27577,a,0,1,2,1.02538,2.33562
22,27582,h,3,4,1,2.00759,0.94947
23,27592,a,3,2,1,1.32392,0.935692
24,27610,h,3,1,0,1.3662,2.08504
25,27621,a,3,1,0,2.20526,0.225637
26,27626,h,3,2,0,1.97535,0.269838
27,27637,h,0,0,4,0.940693,3.93513
28,27644,a,0,0,3,0.597644,0.508254
29,27659,h,3,1,0,1.50908,0.263169
30,27662,a,1,1,1,0.994645,1.37162
31,27673,h,3,2,1,1.95569,0.940466
32,27689,a,0,0,1,0.777191,0.784847
33,27692,h,3,2,0,1.14678,0.621764
34,27702,a,1,1,1,0.681163,0.390379
35,27716,a,1,1,1,1.17931,1.51119
36,27731,h,3,2,0,2.61362,0.358909
37,27732,a,3,3,2,1.66948,1.01327
