,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27369,h,3,3,1,2.33223,0.789649
1,27373,a,0,1,2,1.68277,1.11581
2,27387,h,1,2,2,2.32967,1.34242
3,27396,h,3,2,1,1.79243,0.533276
4,27404,a,0,1,2,1.14467,2.85634
5,27421,a,3,3,2,2.24735,0.494815
6,27423,h,3,2,1,2.0459,0.912844
7,27438,a,0,0,1,0.0648311,1.49305
8,27447,h,3,3,0,2.9799,0.261739
9,27454,a,3,5,1,2.96686,1.16312
10,27471,h,3,2,1,3.39964,0.274214
11,27475,a,3,1,0,1.17083,0.747377
12,27486,h,3,3,0,2.59912,0.0932634
13,27499,a,0,1,3,2.4176,1.27449
14,27509,a,3,1,0,0.243674,1.14465
15,27515,h,0,0,6,0.634641,2.33306
16,27530,a,3,2,1,1.95023,1.09129
17,27535,h,1,1,1,0.564499,2.98315
18,27549,a,0,0,2,1.31957,1.23422
19,27559,h,1,1,1,1.03936,1.9019
20,27566,a,3,3,0,1.99415,1.48598
21,27574,h,0,1,2,2.01121,1.20023
22,27586,a,3,2,1,1.9337,1.82889
23,27601,h,3,5,1,4.42993,0.87219
24,27609,h,1,2,2,0.883377,0.558588
25,27619,a,1,0,0,0.790887,0.995737
26,27627,a,3,2,1,2.53115,1.28991
27,27638,h,1,1,1,1.01458,1.23859
28,27645,a,0,0,5,0.600718,2.85431
29,27656,h,1,1,1,1.93778,0.632735
30,27664,a,3,1,0,0.523108,1.04022
31,27679,h,1,1,1,1.92122,0.221733
32,27685,a,3,2,0,1.33679,0.470637
33,27698,h,1,2,2,1.7767,1.09001
34,27704,a,3,1,0,1.12653,0.18325
35,27716,h,1,1,1,1.51119,1.17931
36,27726,a,1,2,2,2.33497,1.59363
37,27737,h,0,0,1,1.73521,0.708667
