,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27370,h,0,0,4,1.88414,2.45909
1,27375,a,0,0,2,0.335346,2.48059
2,27384,h,3,1,0,2.34113,2.09263
3,27401,a,1,0,0,1.6617,0.447368
4,27408,h,1,2,2,1.25857,2.054
5,27417,a,0,0,3,0.462274,2.43265
6,27431,a,0,0,1,0.645952,1.56312
7,27439,h,0,0,6,0.223823,2.21676
8,27448,a,0,0,1,0.57038,2.53236
9,27458,h,3,1,0,1.35273,0.211464
10,27467,a,0,0,1,0.771878,2.06051
11,27474,h,1,1,1,1.41905,0.610497
12,27489,a,3,1,0,0.624722,2.88235
13,27492,h,1,1,1,1.10419,1.03998
14,27510,a,0,1,4,0.826928,2.38077
15,27516,h,3,2,1,1.57794,0.790408
16,27530,h,0,1,2,1.09129,1.95023
17,27533,a,0,0,2,0.436266,2.25936
18,27547,h,1,0,0,0.545634,1.06752
19,27556,a,3,3,1,1.57649,2.31529
20,27563,a,0,1,4,0.388374,3.36227
21,27575,h,0,0,4,0.719003,2.58246
22,27590,a,3,3,1,0.756887,2.00006
23,27597,h,1,0,0,0.844895,0.8506
24,27607,a,1,0,0,1.10949,0.278072
25,27615,h,0,0,1,0.484479,1.52436
26,27624,a,0,0,1,1.11638,1.43821
27,27639,h,0,2,3,1.1897,3.27991
28,27646,a,0,1,2,1.20452,1.06034
29,27657,h,0,0,1,0.694403,1.90759
30,27668,h,1,1,1,1.50136,0.898847
31,27673,a,0,1,2,0.940466,1.95569
32,27688,h,0,0,3,0.666737,1.65387
33,27693,a,1,1,1,1.45404,2.45836
34,27707,h,0,0,1,0.276702,0.845058
35,27715,a,1,1,1,1.24972,0.480962
36,27727,h,3,1,0,0.970765,0.476384
37,27737,a,3,1,0,0.708667,1.73521
