,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27364,a,1,0,0,0.327848,0.578573
1,27374,h,0,0,1,0.401371,0.660299
2,27388,a,1,2,2,0.489982,2.41541
3,27399,h,1,1,1,0.217777,1.8081
4,27409,h,0,1,2,0.707402,1.45302
5,27418,a,0,0,2,0.298287,1.35886
6,27425,h,1,1,1,1.11968,1.47893
7,27437,a,3,3,0,1.56377,0.81446
8,27446,h,1,2,2,0.903007,0.459902
9,27452,a,0,0,2,0.0805941,1.65221
10,27465,h,0,0,1,1.23293,2.91043
11,27475,h,0,0,1,0.747377,1.17083
12,27488,a,1,1,1,0.916564,1.45433
13,27496,a,1,1,1,1.75565,1.38648
14,27508,h,0,1,2,1.92222,1.40496
15,27516,a,0,1,2,0.790408,1.57794
16,27528,h,0,1,2,0.983171,2.58556
17,27540,a,0,1,2,2.2247,1.22224
18,27548,h,0,1,2,1.55837,0.781523
19,27552,h,3,2,1,0.988429,1.60714
20,27571,a,0,1,3,0.410907,2.33675
21,27573,a,0,0,2,0.311849,3.31745
22,27589,h,0,0,1,0.279515,0.854806
23,27601,a,0,1,5,0.87219,4.42993
24,27607,h,1,0,0,0.278072,1.10949
25,27617,a,0,0,4,0.332233,2.16209
26,27628,h,0,0,2,0.582104,1.43219
27,27636,a,0,2,3,0.779109,3.0629
28,27642,h,1,1,1,0.9314,0.616308
29,27658,a,0,0,3,0.962993,1.95839
30,27663,h,0,1,3,1.05971,2.27029
31,27672,a,0,0,1,0.590462,1.62268
32,27687,h,0,0,1,0.874819,1.66648
33,27692,a,0,0,2,0.621764,1.14678
34,27708,h,0,0,4,0.827428,3.05078
35,27720,a,3,2,1,1.63169,1.45767
36,27728,h,0,1,3,1.03178,1.95845
37,27738,a,0,0,2,0.516606,1.99268
