,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27366,a,0,0,3,0.975176,1.80536
1,27378,h,3,3,0,2.07052,0.544518
2,27386,h,3,2,1,2.33511,1.90229
3,27395,a,3,4,0,1.42805,0.881581
4,27407,a,1,0,0,0.233773,0.419301
5,27418,h,3,2,0,1.35886,0.298287
6,27430,h,3,3,1,1.91407,0.638474
7,27435,a,3,1,0,1.31758,1.00465
8,27448,h,3,1,0,2.53236,0.57038
9,27459,a,3,2,0,0.956912,0.568256
10,27464,h,0,0,3,0.611112,1.50982
11,27473,a,1,1,1,1.00611,1.47373
12,27487,h,3,1,0,2.02389,0.592582
13,27500,a,3,1,0,1.64196,0.442989
14,27509,h,0,0,1,1.14465,0.243674
15,27521,a,3,3,1,1.96425,1.48544
16,27524,a,3,2,1,1.42377,0.707336
17,27539,h,3,1,0,2.55505,0.462133
18,27544,a,3,3,0,1.59728,0.877617
19,27553,h,3,2,0,1.59033,0.23211
20,27562,a,3,3,2,1.2536,0.709505
21,27577,h,3,2,1,2.33562,1.02538
22,27591,a,1,1,1,0.384749,0.364702
23,27598,h,1,1,1,2.07882,1.28733
24,27609,a,1,2,2,0.558588,0.883377
25,27620,a,0,1,2,1.10277,0.466603
26,27629,h,1,1,1,1.72874,0.452597
27,27640,h,3,2,1,2.93764,1.05617
28,27651,a,1,0,0,1.2665,1.04696
29,27654,h,3,2,1,0.945094,2.25619
30,27665,a,1,1,1,0.99857,1.11047
31,27680,h,3,3,0,2.13717,1.37277
32,27687,a,3,1,0,1.66648,0.874819
33,27699,h,3,2,0,1.23274,0.660531
34,27707,a,3,1,0,0.845058,0.276702
35,27718,h,1,2,2,2.35243,0.648382
36,27729,a,1,0,0,0.379711,0.296751
37,27739,h,3,2,0,2.16118,0.0969696
