,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27363,h,1,1,1,1.83796,0.81313
1,27372,h,3,2,1,2.46266,2.09812
2,27386,a,0,1,2,1.90229,2.33511
3,27400,h,0,2,3,0.87968,3.08828
4,27408,a,1,2,2,2.054,1.25857
5,27419,h,0,2,3,2.98598,3.057
6,27424,a,1,0,0,1.08533,0.835615
7,27436,a,1,1,1,0.918205,1.28527
8,27449,h,1,1,1,1.43623,0.14913
9,27457,a,1,2,2,1.45546,2.77649
10,27469,h,0,0,1,0.883705,1.15243
11,27477,a,3,2,1,0.945022,1.29642
12,27491,h,0,1,3,0.622186,3.54363
13,27499,h,3,3,1,1.27449,2.4176
14,27507,a,0,1,3,0.274097,3.0797
15,27519,h,0,2,3,2.30533,3.70407
16,27529,a,0,0,5,0.615694,5.55856
17,27540,h,3,2,1,1.22224,2.2247
18,27550,a,1,0,0,0.321586,1.0858
19,27558,a,0,0,1,0.513393,1.51628
20,27569,h,1,1,1,1.59615,1.1784
21,27576,a,0,2,3,1.85515,2.7112
22,27590,h,0,1,3,2.00006,0.756887
23,27593,a,0,1,2,1.15072,1.49632
24,27606,h,0,0,1,0.293477,1.41178
25,27616,h,3,2,0,1.4111,0.698426
26,27631,a,0,0,1,0.617812,2.0589
27,27641,h,1,2,2,1.48743,0.72136
28,27642,a,1,1,1,0.616308,0.9314
29,27660,a,1,0,0,0.501452,0.765236
30,27670,h,1,2,2,1.66115,2.17944
31,27676,a,1,0,0,0.616318,0.670714
32,27689,h,3,1,0,0.784847,0.777191
33,27698,a,1,2,2,1.09001,1.7767
34,27709,h,0,0,1,2.74525,1.32818
35,27714,a,0,1,2,0.404689,0.989813
36,27729,h,1,0,0,0.296751,0.379711
37,27733,a,3,3,2,2.82535,1.90265
