,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27368,a,1,0,0,1.29639,1.30634
1,27379,h,0,1,2,2.04246,3.0773
2,27390,a,1,0,0,0.382591,0.415282
3,27394,a,1,1,1,2.65805,1.59603
4,27410,h,3,3,0,2.5658,0.525078
5,27420,h,3,2,1,1.99001,2.02845
6,27425,a,1,1,1,1.47893,1.11968
7,27441,h,0,0,1,0.78742,0.796917
8,27445,a,0,1,5,0.657353,4.56893
9,27460,h,3,1,0,0.436341,0.189286
10,27468,a,0,2,3,2.38413,1.51701
11,27476,h,0,2,3,1.06974,2.16772
12,27487,a,0,0,1,0.592582,2.02389
13,27493,h,0,0,2,0.667881,1.76696
14,27510,h,3,4,1,2.38077,0.826928
15,27512,a,0,0,2,0.650738,1.1153
16,27529,h,3,5,0,5.55856,0.615694
17,27538,a,1,1,1,1.61126,2.26348
18,27549,h,3,2,0,1.23422,1.31957
19,27554,a,1,2,2,1.58872,2.28949
20,27570,h,3,3,1,1.79725,0.494153
21,27579,a,3,2,1,2.6168,0.805147
22,27591,h,1,1,1,0.364702,0.384749
23,27600,a,3,1,0,2.14236,0.905188
24,27606,a,3,1,0,1.41178,0.293477
25,27617,h,3,4,0,2.16209,0.332233
26,27630,h,3,2,1,1.59518,1.29634
27,27634,a,3,1,0,2.99912,0.0771894
28,27648,h,3,1,0,1.61105,1.10046
29,27657,a,3,1,0,1.90759,0.694403
30,27662,h,1,1,1,1.37162,0.994645
31,27679,a,1,1,1,0.221733,1.92122
32,27690,h,3,1,0,1.24696,0.330349
33,27697,a,3,1,0,2.79826,1.10299
34,27710,h,3,1,0,1.00134,0.760529
35,27712,a,0,1,2,0.572288,2.87542
36,27730,h,3,3,1,1.57656,1.78592
37,27740,a,3,2,0,2.64436,0.381059
