,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27365,a,1,2,2,0.876602,2.1004
1,27377,h,3,2,1,2.49919,3.08667
2,27382,a,3,1,0,1.80895,0.635612
3,27401,h,1,0,0,0.447368,1.6617
4,27405,a,3,3,2,1.96682,0.777792
5,27421,h,0,2,3,0.494815,2.24735
6,27428,a,0,2,3,1.29026,3.44641
7,27432,a,0,2,3,1.23394,1.51181
8,27450,h,3,1,0,1.56007,1.59554
9,27460,a,0,0,1,0.189286,0.436341
10,27470,h,0,0,1,0.590362,0.523302
11,27480,a,0,0,2,0.273931,1.57325
12,27488,h,1,1,1,1.45433,0.916564
13,27500,h,0,0,1,0.442989,1.64196
14,27505,a,1,0,0,0.70601,0.327249
15,27513,a,3,1,0,1.36089,0.953691
16,27527,h,0,0,2,0.270606,1.79816
17,27541,a,1,2,2,0.603591,1.23954
18,27550,h,1,0,0,1.0858,0.321586
19,27555,h,1,1,1,0.411274,0.94701
20,27565,a,1,1,1,0.540016,1.81758
21,27578,h,3,2,0,2.23206,0.270772
22,27584,a,1,1,1,0.629596,3.35128
23,27599,h,1,1,1,0.647236,0.308682
24,27602,a,0,2,3,1.64846,3.46262
25,27618,h,3,2,1,0.556583,2.18445
26,27628,a,3,2,0,1.43219,0.582104
27,27641,a,1,2,2,0.72136,1.48743
28,27649,h,3,1,0,0.701071,1.73375
29,27656,a,1,1,1,0.632735,1.93778
30,27671,h,1,1,1,0.963942,1.32441
31,27675,a,0,0,1,1.04165,1.23079
32,27691,h,3,2,0,0.949162,0.949917
33,27699,a,0,0,2,0.660531,1.23274
34,27711,h,1,1,1,1.74541,1.07484
35,27719,h,0,0,2,1.76692,2.48918
36,27727,a,0,0,1,0.476384,0.970765
37,27740,h,0,0,2,0.381059,2.64436
