,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27367,a,1,1,1,0.944621,3.3102
1,27373,h,3,2,1,1.11581,1.68277
2,27391,h,3,1,0,1.18455,1.65728
3,27400,a,3,3,2,3.08828,0.87968
4,27410,a,0,0,3,0.525078,2.5658
5,27413,h,0,2,3,0.984798,2.30465
6,27431,h,3,1,0,1.56312,0.645952
7,27440,a,0,0,1,0.522785,1.20398
8,27451,h,3,2,0,1.12881,0.160634
9,27461,a,0,2,3,1.30701,2.55368
10,27466,h,0,0,2,0.573076,1.55533
11,27481,a,0,1,2,0.90914,1.60488
12,27483,a,1,1,1,1.09285,0.166889
13,27501,h,0,0,2,0.156386,1.7171
14,27508,a,3,2,1,1.40496,1.92222
15,27521,h,0,1,3,1.48544,1.96425
16,27523,a,3,2,1,0.858846,1.55716
17,27541,h,1,2,2,1.23954,0.603591
18,27545,a,1,0,0,0.655965,0.745287
19,27561,h,1,0,0,2.05217,0.233045
20,27564,a,0,1,4,0.847427,1.81904
21,27579,h,0,1,2,0.805147,2.6168
22,27583,h,3,3,2,0.940092,1.36255
23,27598,a,1,1,1,1.28733,2.07882
24,27604,h,3,3,0,2.90516,2.47474
25,27615,a,3,1,0,1.52436,0.484479
26,27631,h,3,1,0,2.0589,0.617812
27,27638,a,1,1,1,1.23859,1.01458
28,27650,h,0,0,1,0.318009,0.542985
29,27655,a,0,1,2,1.3398,2.33787
30,27667,a,0,0,1,1.11114,1.65486
31,27681,h,0,0,4,0.644579,2.49634
32,27691,a,0,0,2,0.949917,0.949162
33,27700,h,1,0,0,0.387188,1.17741
34,27703,a,3,2,1,1.92066,0.954534
35,27720,h,0,1,2,1.45767,1.63169
36,27731,a,0,0,2,0.358909,2.61362
37,27741,h,0,2,3,1.61711,3.06465
