,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27369,a,0,1,3,0.789649,2.33223
1,27376,a,1,0,0,1.01295,0.660213
2,27382,h,0,0,1,0.635612,1.80895
3,27398,a,0,0,4,0.263269,2.18898
4,27411,h,3,2,0,2.33503,0.388857
5,27420,a,0,1,2,2.02845,1.99001
6,27427,a,0,1,2,1.43755,2.10738
7,27433,h,0,0,2,0.881872,1.83371
8,27446,a,1,2,2,0.459902,0.903007
9,27461,h,3,3,2,2.55368,1.30701
10,27463,a,0,0,1,1.14021,3.34539
11,27477,h,0,1,2,1.29642,0.945022
12,27489,h,0,0,1,2.88235,0.624722
13,27494,a,0,0,3,0.357302,4.16965
14,27511,h,1,2,2,0.303457,0.779392
15,27514,a,1,2,2,0.586788,2.18951
16,27526,h,3,2,1,1.55318,2.62545
17,27539,a,0,0,1,0.462133,2.55505
18,27551,h,1,1,1,0.455526,1.52251
19,27557,h,0,0,1,0.668042,2.35271
20,27569,a,1,1,1,1.1784,1.59615
21,27580,h,1,1,1,0.709709,2.17206
22,27583,a,0,2,3,1.36255,0.940092
23,27600,h,0,0,1,0.905188,2.14236
24,27605,a,0,0,2,0.341183,1.60036
25,27619,h,1,0,0,0.995737,0.790887
26,27622,a,1,0,0,0.359199,3.34552
27,27633,a,1,1,1,1.80606,1.2727
28,27651,h,1,0,0,1.04696,1.2665
29,27653,h,0,0,1,0.683347,1.29589
30,27668,a,1,1,1,0.898847,1.50136
31,27672,h,3,1,0,1.62268,0.590462
32,27684,a,1,2,2,1.48453,1.14666
33,27701,h,0,0,2,1.00629,1.466
34,27711,a,1,1,1,1.07484,1.74541
35,27721,h,3,2,1,2.25991,0.994541
36,27722,a,0,0,3,0.773148,2.75115
37,27732,h,0,2,3,1.01327,1.66948
