,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27366,h,3,3,0,1.80536,0.975176
1,27381,h,0,0,3,0.878611,1.36151
2,27389,a,3,2,0,2.09653,1.34735
3,27396,a,0,1,2,0.533276,1.79243
4,27405,h,0,2,3,0.777792,1.96682
5,27414,a,0,2,3,1.5544,2.47493
6,27427,h,3,2,1,2.10738,1.43755
7,27437,h,0,0,3,0.81446,1.56377
8,27443,a,0,1,6,0.22446,3.84122
9,27458,a,0,0,1,0.211464,1.35273
10,27468,h,3,3,2,1.51701,2.38413
11,27479,a,0,1,3,0.53544,2.77034
12,27485,h,0,0,5,0.554633,2.79774
13,27495,a,0,0,1,0.606166,2.64816
14,27506,h,0,1,4,0.895085,1.2903
15,27519,a,3,3,2,3.70407,2.30533
16,27522,h,0,0,1,0.649472,1.37505
17,27532,a,3,3,2,0.798964,2.86482
18,27545,h,1,0,0,0.745287,0.655965
19,27553,a,0,0,2,0.23211,1.59033
20,27566,h,0,0,3,1.48598,1.99415
21,27580,a,1,1,1,2.17206,0.709709
22,27589,a,3,1,0,0.854806,0.279515
23,27595,h,0,0,5,1.78844,2.14751
24,27608,a,0,0,1,0.372202,1.8755
25,27613,h,3,1,0,0.450798,1.15567
26,27626,a,0,0,2,0.269838,1.97535
27,27635,h,0,1,2,1.28101,1.38177
28,27650,a,3,1,0,0.542985,0.318009
29,27660,h,1,0,0,0.765236,0.501452
30,27671,a,1,1,1,1.32441,0.963942
31,27677,h,1,0,0,1.00077,0.111761
32,27690,a,0,0,1,0.330349,1.24696
33,27696,h,0,0,2,0.27029,1.87448
34,27706,a,0,0,1,0.303341,1.59903
35,27715,h,1,1,1,0.480962,1.24972
36,27725,h,1,1,1,1.55405,1.12443
37,27736,a,3,2,1,0.833807,1.23351
